Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
0,AALI,24 Februari 2021 | 14:27,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AALI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AALI\2020,General
1,ABBA,25 Agustus 2021 | 23:48,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ABBA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ABBA\2020,General
2,ABDA,31 Maret 2021 | 16:50,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ABDA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ABDA\2020,Insurance
3,ABMM,31 Mei 2021 | 15:01,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ABMM/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ABMM\2020,General
4,ACES,06 Mei 2021 | 17:16,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ACES/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ACES\2020,General
5,ACST,24 Februari 2021 | 14:37,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ACST/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ACST\2020,General - liquidity
6,ADES,25 Mei 2021 | 10:17,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ADES/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ADES\2020,General
7,ADHI,06 April 2021 | 10:35,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ADHI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ADHI\2020,Property
8,ADMF,18 Februari 2021 | 12:43,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ADMF/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ADMF\2020,Finance Industry
9,ADMG,31 Maret 2021 | 15:32,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ADMG/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ADMG\2020,General
10,ADRO,04 Maret 2021 | 18:50,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ADRO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ADRO\2020,General
11,AGAR,29 Mei 2021 | 14:02,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AGAR/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AGAR\2020,General
12,AGII,09 April 2021 | 10:52,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AGII/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AGII\2020,General
13,AGRO,09 April 2021 | 23:56,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AGRO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AGRO\2020,Financial and Shariah
14,AGRS,03 Mei 2021 | 10:06,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AGRS/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AGRS\2020,Financial and Shariah
15,AHAP,12 Oktober 2022 | 16:46,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AHAP/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AHAP\2020,Insurance
