Company,Tanggal,Saham
BANK,01 Sep 2023,14.509.073.440
LAPD,23 Jul 2004,264.398.200
LAPD,13 Nov 2001,258.000.000
LAPD,17 Jul 2001,215.000.000
LAPD,17 Jul 2001,155.000.000
NICK,02 Mei 2018,651.150.000
OASA,30 Jan 2023,6.347.220.000
PLAN,21 Agt 2023,892.863.204
SMKM,09 Mar 2022,1.253.000.000
AALI,24 Jun 2016,1.924.688.333
AALI,18 Mei 2004,1.574.745.000
AALI,06 Jul 1999,1.509.600.000
AALI,09 Des 1997,1.258.000.000
ABBA,10 Mar 2022,3.935.892.857
ABDA,21 Des 2004,275.614.080
ABDA,07 Agt 2003,137.657.040
ABDA,15 Jan 2002,105.820.800
ABDA,16 Des 1996,35.073.600
ABDA,26 Feb 1996,17.386.800
ABDA,06 Okt 1993,9.526.000
ABDA,06 Okt 1993,9.526.000
ABDA,07 Agt 1990,5.400.000
ABDA,07 Agt 1990,8.640.000
ABDA,25 Agt 1989,5.400.000
ABMM,06 Des 2011,2.753.165.000
ACES,06 Nov 2007,422.300.000.000
ACST,30 Agt 2021,12.675.160.000
ADES,28 Des 2007,589.896.800
ADES,07 Agt 1997,149.720.000
ADES,13 Jun 1994,111.720.000
ADES,13 Jun 1994,88.720.000
ADES,11 Jun 1994,73.720.000
ADHI,14 Nov 2022,8.407.608.979
ADMF,31 Mar 2004,100.000.000
ADMF,31 Mar 2004,1.000.000.000
ADMG,12 Jan 2005,3.889.179.559
ADMG,10 Nov 1997,2.240.000.000
ADMG,21 Okt 1996,1.120.000.000
ADMG,28 Agt 1995,320.000.000
ADMG,25 Nov 1994,160.000.000
ADMG,20 Okt 1993,20.000.000
ADMG,20 Okt 1993,80.000.000
ADRO,16 Jul 2008,31.985.962.000
AGAR,02 Des 2019,1.000.000.000
AGII,28 Sep 2016,3.066.660.000
AGRO,27 Des 2022,24.492.706.736
AGRS,14 Agt 2023,37.365.877.065
AHAP,25 Agt 2022,4.900.000.000
AIMS,02 Agt 2016,220.000.000
AIMS,20 Jul 2001,40.000.000
AIMS,20 Jul 2001,110.000.000
AISA,02 Okt 2014,3.218.600.000
AKKU,23 Des 2014,253.000.000
AKPI,07 Jul 2021,612.248.000
AKRA,12 Jan 2022,20.073.474.600
AKSI,13 Jul 2001,165.000.000
AKSI,13 Jul 2001,720.000.000
ALDO,21 Agt 2023,1.316.856.433
ALKA,03 Apr 2003,101.533.011
ALKA,01 Sep 1994,21.450.000
ALKA,20 Jun 1991,19.500.000
ALKA,12 Jul 1990,1.500.000
ALKA,12 Jul 1990,6.500.000
ALMI,12 Feb 2014,616.000.000
ALTO,17 Jul 2017,2.191.870.558
AMAG,20 Jun 2007,1.218.742.000
AMAG,23 Des 2005,1.200.000.000
AMAN,13 Mar 2020,3.873.500.000
AMAR,21 Des 2022,18.197.283.760
AMFG,18 Des 2000,434.000.000
AMFG,08 Nov 1995,86.000.000
AMFG,08 Nov 1995,287.000.000
AMIN,10 Des 2015,1.080.000.000
AMOR,08 Des 2021,2.222.222.400
AMRT,05 Jun 2015,41.524.501.700
ANDI,05 Nov 2019,9.350.000.000
ANJT,08 Mei 2013,3.333.350.000
ANTM,28 Okt 2015,20.729.299.654
APEX,31 Mar 2022,2.796.804.997
APIC,18 Okt 2019,11.766.313.488
APII,28 Mei 2015,1.075.760.000
APLI,08 Jun 2018,1.362.671.400
APLN,24 Mar 2020,22.699.326.779
ARGO,07 Jul 2023,3.174.339.029
ARII,23 Sep 2022,3.431.000.000
ARKA,10 Jul 2019,2.000.000.000
ARMY,21 Jun 2017,8.187.500.000
ARNA,11 Sep 2009,1.835.357.744
ARNA,09 Jun 2006,917.678.872
ARNA,22 Nov 2002,905.604.150
ARNA,17 Jul 2001,125.000.000
ARNA,17 Jul 2001,548.851.000
ARTA,12 Jun 2007,446.464.000
ARTA,12 Feb 2007,446.449.000
ARTA,27 Jul 2005,435.000.000
ARTA,05 Nov 2002,70.000.000
ARTA,05 Nov 2002,290.000.000
ARTI,16 Jan 2015,7.840.000.000
ARTO,18 Mar 2021,13.726.970.967
ASBI,26 Jul 2016,348.386.472
ASBI,27 Des 2006,174.193.236
ASBI,22 Sep 2006,141.575.662
ASBI,01 Nov 2000,80.499.994
ASBI,14 Okt 1997,23.000.000
ASBI,13 Okt 1997,9.200.000
ASBI,13 Apr 1994,4.600.000
ASBI,29 Nov 1989,1.000.000
ASDM,28 Mei 2002,192.000.000
ASDM,24 Feb 1999,96.000.000
ASDM,20 Okt 1997,64.000.000
ASDM,08 Sep 1997,40.000.000
ASDM,01 Sep 1992,19.900.000
ASDM,01 Sep 1992,20.000.000
ASDM,08 Nov 1991,10.000.000
ASDM,15 Des 1989,2.000.000
ASGR,27 Jun 2002,1.315.871.000
ASGR,27 Mei 2002,1.313.464.500
ASGR,26 Apr 2002,1.308.161.500
ASGR,07 Mar 2000,1.306.875.000
ASGR,03 Des 1997,130.687.500
ASGR,07 Nov 1997,65.343.750
ASGR,30 Jul 1996,42.281.250
ASGR,13 Feb 1995,15.375.000
ASGR,10 Apr 1991,6.150.000
ASGR,15 Nov 1989,3.075.000
ASII,18 Mei 2004,4.010.750.831
ASII,22 Jan 2003,3.945.996.831
ASII,01 Jun 1999,2.541.216.656
ASII,01 Sep 1997,2.323.162.474
ASII,07 Agt 1997,1.160.331.237
ASII,08 Sep 1994,1.160.050.400
ASII,03 Jan 1994,288.137.600
ASII,18 Des 1991,239.698.000
ASII,04 Apr 1990,54.805.000
ASJT,04 Jan 2023,1.400.000.000
ASMI,09 Jun 2015,1.408.645.700
ASPI,16 Feb 2023,681.823.317
ASRI,18 Des 2007,3.142.000.000
ASRM,04 Sep 2020,304.283.840
ASSA,13 Mei 2023,0
ATAP,11 Des 2020,1.250.000.000
ATIC,08 Jul 2015,1.875.000.000
AUTO,15 Mei 2013,4.819.733.000
AYLS,15 Feb 2021,853.423.236
BABP,22 Jun 2023,33.421.497.343
BACA,08 Des 2022,19.882.244.858
BACA,08 Des 2022,19.753.494.636
BAJA,21 Des 2011,1.800.000.000
BALI,02 Sep 2015,3.481.532.500
BAPA,14 Jan 2008,150.000.000
BAPA,14 Jan 2008,650.000.000
BAPI,22 Sep 2022,5.591.980.103
BATA,04 Sep 2013,1.300.000.000
BAYU,02 Apr 2002,353.220.780
BAYU,27 Agt 1997,299.220.780
BAYU,19 Jul 1996,261.818.182
BAYU,01 Jul 1996,240.000.000
BAYU,18 Jul 1995,120.000.000
BAYU,20 Sep 1993,24.000.000
BAYU,23 Apr 1993,6.000.000
BAYU,30 Okt 1989,2.000.000
BBCA,13 Okt 2021,122.042.299.500
BBCA,13 Okt 2021,123.275.050.000
BBHI,12 Agt 2015,3.613.500.000
BBKP,07 Jun 2023,185.819.884.852
BBLD,21 Nov 2005,229.351.247
BBLD,11 Mei 2005,181.484.500
BBLD,25 Feb 2005,181.384.500
BBLD,05 Feb 2004,180.000.000
BBLD,26 Jul 1999,180.000.000
BBLD,20 Jun 1995,90.000.000
BBLD,31 Mei 1994,27.010.200
BBLD,31 Mei 1994,27.011.500
BBLD,31 Mei 1994,44.987.640
BBLD,31 Mei 1994,45.000.000
BBMD,08 Jul 2013,4.049.189.100
BBNI,30 Agt 2007,15.121.201.105
BBNI,23 Des 2003,13.148.870.526
BBNI,12 Des 2001,197.233.057.890
BBNI,20 Apr 2001,197.576.597.975
