Company,Tanggal,Saham
BANK,2023-09-01,14509073440.0
LAPD,2004-07-23,264398200.0
LAPD,2001-11-13,258000000.0
LAPD,2001-07-17,215000000.0
LAPD,2001-07-17,155000000.0
NICK,2018-05-02,651150000.0
OASA,2023-01-30,6347220000.0
PLAN,2023-08-21,892863204.0
SMKM,2022-03-09,1253000000.0
AALI,2016-06-24,1924688333.0
AALI,2004-05-18,1574745000.0
AALI,1999-07-06,1509600000.0
AALI,1997-12-09,1258000000.0
ABBA,2022-03-10,3935892857.0
ABDA,2004-12-21,275614080.0
ABDA,2003-08-07,137657040.0
ABDA,2002-01-15,105820800.0
ABDA,1996-12-16,35073600.0
ABDA,1996-02-26,17386800.0
ABDA,1993-10-06,9526000.0
ABDA,1993-10-06,9526000.0
ABDA,1990-08-07,5400000.0
ABDA,1990-08-07,8640000.0
ABDA,1989-08-25,5400000.0
ABMM,2011-12-06,2753165000.0
ACES,2007-11-06,422300000000.0
ACST,2021-08-30,12675160000.0
ADES,2007-12-28,589896800.0
ADES,1997-08-07,149720000.0
ADES,1994-06-13,111720000.0
ADES,1994-06-13,88720000.0
ADES,1994-06-11,73720000.0
ADHI,2022-11-14,8407608979.0
ADMF,2004-03-31,100000000.0
ADMF,2004-03-31,1000000000.0
ADMG,2005-01-12,3889179559.0
ADMG,1997-11-10,2240000000.0
ADMG,1996-10-21,1120000000.0
ADMG,1995-08-28,320000000.0
ADMG,1994-11-25,160000000.0
ADMG,1993-10-20,20000000.0
ADMG,1993-10-20,80000000.0
ADRO,2008-07-16,31985962000.0
AGAR,2019-12-02,1000000000.0
AGII,2016-09-28,3066660000.0
AGRO,2022-12-27,24492706736.0
AGRS,2023-08-14,37365877065.0
AHAP,2022-08-25,4900000000.0
AIMS,2016-08-02,220000000.0
AIMS,2001-07-20,40000000.0
AIMS,2001-07-20,110000000.0
AISA,2014-10-02,3218600000.0
AKKU,2014-12-23,253000000.0
AKPI,2021-07-07,612248000.0
AKRA,2022-01-12,20073474600.0
AKSI,2001-07-13,165000000.0
AKSI,2001-07-13,720000000.0
ALDO,2023-08-21,1316856433.0
ALKA,2003-04-03,101533011.0
ALKA,1994-09-01,21450000.0
ALKA,1991-06-20,19500000.0
ALKA,1990-07-12,1500000.0
ALKA,1990-07-12,6500000.0
ALMI,2014-02-12,616000000.0
ALTO,2017-07-17,2191870558.0
AMAG,2007-06-20,1218742000.0
AMAG,2005-12-23,1200000000.0
AMAN,2020-03-13,3873500000.0
AMAR,2022-12-21,18197283760.0
AMFG,2000-12-18,434000000.0
AMFG,1995-11-08,86000000.0
AMFG,1995-11-08,287000000.0
AMIN,2015-12-10,1080000000.0
AMOR,2021-12-08,2222222400.0
AMRT,2015-06-05,41524501700.0
ANDI,2019-11-05,9350000000.0
ANJT,2013-05-08,3333350000.0
ANTM,2015-10-28,20729299654.0
APEX,2022-03-31,2796804997.0
APIC,2019-10-18,11766313488.0
APII,2015-05-28,1075760000.0
APLI,2018-06-08,1362671400.0
APLN,2020-03-24,22699326779.0
ARGO,2023-07-07,3174339029.0
ARII,2022-09-23,3431000000.0
ARKA,2019-07-10,2000000000.0
ARMY,2017-06-21,8187500000.0
ARNA,2009-09-11,1835357744.0
ARNA,2006-06-09,917678872.0
ARNA,2002-11-22,905604150.0
